itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
2986-1		About anything.	other	insertion	15	major	15	2	1	0	0	0	0	0	0	0	0	0	0
2988-1	Ok,	Okay,	other	tbc	2	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
2989-1	Tomorrow,	I am having a conversation with someone: whoever reads this log.	other	expansion	58	major	55	10	0	0	0	0	0	0	0	0	0	1	0
2990-1		It's a bit one-sided but it'll have to do.	other	insertion	42	major	42	12	1	0	0	0	0	0	0	0	0	0	0
2991-1		I might die, but damn it, someone will know what I had to say.	other	insertion	62	major	62	14	1	0	0	0	0	0	0	0	0	0	0
2992-1		And the whole point of this trip is to get a radio.	other	insertion	51	major	51	12	1	0	0	0	0	0	0	0	0	0	0
2993-1		I could be reconnected with mankind before I even die.	other	insertion	54	major	54	10	1	0	0	0	0	0	0	0	0	0	0
2994-1		So here's another first: Tomorrow	other	insertion	33	major	33	5	1	0	0	0	0	0	0	0	0	0	0
3001-1	Lander.	lander.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3004-1		I excitedly stumbled out and rushed to the site.	other	insertion	48	major	48	9	1	0	0	0	0	0	0	0	0	0	0
3007-1	deflated	deflated,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3009-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3010-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3011-1	Lander.	lander.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3013-1	excitedly stumbled out and rushed to the site.		other	deletion	46	major	-46	-8	0	1	0	0	0	0	0	0	0	0	0
3014-1	I		other	deletion	1	minor	-1	0	0	1	0	0	0	0	0	0	0	0	0
3014-2	was.	was to find it.	other	expansion	11	major	11	3	0	0	0	0	0	0	0	0	0	1	0
3016-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3016-2	half buried.	half-buried.	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3019-1	was	Was	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3019-2	Lander.	lander.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3020-1	further	farther	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
3021-1	Lander,	lander,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3024-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3026-1	big.	big, but I only needed the probe itself.	other	expansion	36	major	36	7	0	0	0	0	0	0	0	0	0	1	0
3028-1	attached to	on	other	condensation	11	major	-9	-1	0	0	0	0	0	0	0	0	1	0	0
3029-1		to the central panel	other	insertion	20	major	20	3	1	0	0	0	0	0	0	0	0	0	0
3041-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
3045-1	panel,	panel	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3049-1	had a	had'a	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
3055-1	kg.	kilograms.	other	expansion	7	major	7	0	0	0	0	0	0	0	0	0	0	1	0
3056-1	Mar's	Mars's	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
3060-1	Getting	getting	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3062-1	mostly-full	mostly full	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3067-1	they would be	I'll use	other	condensation	10	major	-5	0	0	0	0	0	0	0	0	0	1	0	0
3067-2	stack.	stack to make room for the probe.	other	expansion	27	major	27	6	0	0	0	0	0	0	0	0	0	1	0
3068-1	they	the stack	other	expansion	6	major	5	1	0	0	0	0	0	0	0	0	0	1	0
3069-1	The main thing it they'll	Also, the cells will	other	condensation	19	major	-5	-2	0	0	0	0	0	0	0	0	1	0	0
3070-1		But I'll get it done.	other	insertion	21	major	21	6	1	0	0	0	0	0	0	0	0	0	0
3073-1	broken,	broken;	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
3085-1	Lander's	lander's	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3087-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3087-2	high gain	high-gain	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3088-1	head.	head,	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
3092-1	If nothing else,		other	deletion	16	major	-16	-3	0	1	0	0	0	0	0	0	0	0	0
3093-1	wheels, and hold a mirror up	wheels.	other	condensation	22	major	-21	-4	0	0	0	0	0	0	0	0	1	0	0
3094-1		NASA could rotate them	other	insertion	22	major	22	3	1	0	0	0	0	0	0	0	0	0	0
3094-2	its camera.		other	deletion	11	major	-11	-2	0	1	0	0	0	0	0	0	0	0	0
3095-1	NASA'd figure it out and start spelling	spell	other	condensation	34	major	-34	-7	0	0	0	0	0	0	0	0	1	0	0
3096-1	Lander's	lander's	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3101-1	god	God,	other	tbc	2	minor	1	1	0	0	0	0	0	0	0	0	0	0	1
3102-1	the	the,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3102-2	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3102-3	on to	onto	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
3107-1	Piling up	I piled	other	tbc	8	major	-2	0	0	0	0	0	0	0	0	0	0	0	1
3107-2	Lander, I	lander and	other	tbc	5	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
3107-3	pile, then	pile and back	other	tbc	8	major	3	1	0	0	0	0	0	0	0	0	0	0	1
3108-1	it steeper, etc.		other	deletion	16	major	-16	-3	0	1	0	0	0	0	0	0	0	0	0
3109-1	I figured out	the pile steeper and made sure	other	expansion	24	major	17	3	0	0	0	0	0	0	0	0	0	1	0
3109-2	pull it	drag the lander	other	expansion	14	major	8	1	0	0	0	0	0	0	0	0	0	1	0
3109-3	a	and down.	other	expansion	8	major	8	2	0	0	0	0	0	0	0	0	0	1	0
3110-1		I repeated this over and over until I found the best grade for my ramp:	other	insertion	71	major	71	15	1	0	0	0	0	0	0	0	0	0	0
3110-2	degree grade.	degrees.	other	condensation	6	major	-5	-1	0	0	0	0	0	0	0	0	1	0	0
3112-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3113-1	2	two	script identifiable	numbers	3	minor	2	0	0	0	0	0	0	0	0	1	0	0	0
3114-1	4	four	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
3118-1	spacesuit	space suit	script identifiable	whitespace	1	minor	1	1	0	0	0	1	0	0	0	0	0	0	0
3119-1	kg	kilograms	other	expansion	7	major	7	0	0	0	0	0	0	0	0	0	0	1	0
3120-1	20	twenty	script identifiable	numbers	6	major	4	0	0	0	0	0	0	0	0	1	0	0	0
3131-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3133-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3144-1	100 kg	200-kilogram	script identifiable	numbers	8	major	6	0	0	0	0	0	0	0	0	1	0	0	0
3145-1	Chapter	CHAPTER	script-identifiable	capitalization	6	major	0	0	0	0	1	0	0	0	0	0	0	0	0
3149-1	Then	Then,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3154-1	16	sixteen	script identifiable	numbers	7	major	5	0	0	0	0	0	0	0	0	1	0	0	0
3158-1	ramp...	ramp	script identifiable	punctuation	3	minor	-3	-1	0	0	0	0	0	1	0	0	0	0	0
3159-1	navigate,	navigate	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3160-1	km	kilometers	other	expansion	8	major	8	0	0	0	0	0	0	0	0	0	0	1	0
3170-1	long haul	long-haul	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3175-1	2	two	script identifiable	numbers	3	minor	2	0	0	0	0	0	0	0	0	1	0	0	0
3178-1	100 km	hundred kilometers	script identifiable	numbers	15	major	12	0	0	0	0	0	0	0	0	1	0	0	0
3180-1	"""The"	The	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3180-2	"Man"""	Man	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3180-3	of4 70s	of seventies	script identifiable	numbers	9	major	5	0	0	0	0	0	0	0	0	1	0	0	0
3186-1		to	other	insertion	2	minor	2	0	1	0	0	0	0	0	0	0	0	0	0
3190-1	I have a solid bearing and direction to go.		other	deletion	43	major	-43	-9	0	1	0	0	0	0	0	0	0	0	0
3192-1	24718	24,718	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3197-1	laying	lying	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
3208-1	for rendezvous.	to pick us up.	other	tbc	11	major	-1	2	0	0	0	0	0	0	0	0	0	0	1
3210-1	3	three	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
3211-1	23 minute	twenty-three-minute	script identifiable	numbers	13	major	10	1	0	0	0	0	0	0	0	1	0	0	0
3213-1	"""We"	"""we"	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3213-2	"other""."		other	deletion	7	major	-7	-1	0	1	0	0	0	0	0	0	0	0	0
3214-1	"Once we got out, Commander Lewis declared ""what happened in Missed Orbit stays in Missed Orbit."""		other	deletion	96	major	-96	-16	0	1	0	0	0	0	0	0	0	0	0
3215-1	It may seem trite, but it worked.		other	deletion	33	major	-33	-7	0	1	0	0	0	0	0	0	0	0	0
3216-1	We put it behind us and got back to normal.	"other."""	other	condensation	40	major	-36	-9	0	0	0	0	0	0	0	0	1	0	0
3217-1	for just five minutes of Missed Orbit training.		other	deletion	47	major	-47	-8	0	1	0	0	0	0	0	0	0	0	0
3218-1	I'm really feeling alone lately.		other	deletion	32	major	-32	-6	0	1	0	0	0	0	0	0	0	0	0
3219-1	Up till this road trip, I've been too busy		other	deletion	42	major	-42	-9	0	1	0	0	0	0	0	0	0	0	0
3219-2	mope.		other	deletion	5	minor	-5	-1	0	1	0	0	0	0	0	0	0	0	0
3220-1	But the long, dull days	be in that cramped capsule	other	tbc	21	major	3	0	0	0	0	0	0	0	0	0	0	0	1
3220-2	nothing to do really drives it home.		other	deletion	36	major	-36	-7	0	1	0	0	0	0	0	0	0	0	0
3221-1	I'm further away from other humans than anyone has ever been.	those guys again.	other	condensation	49	major	-44	-9	0	0	0	0	0	0	0	0	1	0	0
3228-1	22 sols,	twenty-two sols	script identifiable	numbers	11	major	7	0	0	0	0	0	0	0	0	1	0	0	0
3231-1	Oxygenator	oxygenator	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3231-2	Atmospheric Regulator.	atmospheric regulator.	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3238-1	Water Reclaimer.	water reclaimer.	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3239-1	weeks,	weeks	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3243-1	Suiting	After suiting	other	expansion	7	major	6	1	0	0	0	0	0	0	0	0	0	1	0
3245-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3247-1	Leaning	By leaning	other	tbc	4	minor	3	1	0	0	0	0	0	0	0	0	0	0	1
3247-2	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
3250-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3256-1	it		other	deletion	2	minor	-2	0	0	1	0	0	0	0	0	0	0	0	0
3256-2	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3260-1	4 km	four kilometers	script identifiable	numbers	12	major	11	0	0	0	0	0	0	0	0	1	0	0	0
3261-1	Driving	I drove	other	tbc	7	major	0	1	0	0	0	0	0	0	0	0	0	0	1
3261-2	I		other	deletion	1	minor	-1	0	0	1	0	0	0	0	0	0	0	0	0
3261-3	hole	hole,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3262-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3263-1	Now,	Now	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3267-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3268-1	they	JPL	other	tbc	4	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
3268-2	Lander,	lander,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3271-1	the	its	other	tbc	3	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
3272-1	Setting it	I set the little rover	other	expansion	17	major	12	3	0	0	0	0	0	0	0	0	0	1	0
3272-2	workbench, I	workbench and	other	tbc	4	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
3272-3	panel	.panel	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3274-1	"""LiSOC12"	"""LiSOCl2"	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
3277-1	ok,	okay,	other	tbc	2	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
3295-1	now unused	now-unused	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3299-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3302-1	toolkit	tool kit	script identifiable	whitespace	1	minor	1	1	0	0	0	1	0	0	0	0	0	0	0
3305-1	Amp-hour Ag-Zr	amp-hour Ag-Zn	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
3305-2	1.5 V.	1.5.	script identifiable	numbers	2	minor	-2	-1	0	0	0	0	0	0	0	1	0	0	0
3311-1	So	But	other	tbc	3	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
3311-2	it needed.	the lander needed:	other	expansion	11	major	8	1	0	0	0	0	0	0	0	0	0	1	0
3314-1	15	fifteen	script identifiable	numbers	7	major	5	0	0	0	0	0	0	0	0	1	0	0	0
3316-1	-40 C.	-40°C.	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
3317-1	-63 C.	-63°C.	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
3318-1	were.	Were.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3321-1	1,	1	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3321-2	it's	its	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3323-1	Bringing	I lugged	other	tbc	7	major	0	1	0	0	0	0	0	0	0	0	0	0	1
3323-2		outdoor	other	insertion	7	major	7	0	1	0	0	0	0	0	0	0	0	0	0
3323-3	I	and	other	tbc	3	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
3324-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3326-1	hope.	hope,	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
3328-1	Lander,	lander,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3332-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3332-2	if)	if),	script identifiable	punctuation	1	minor	1	0	0	0	0	0	0	1	0	0	0	0	0
3333-1	is,	is	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
3334-1	long dead	long-dead	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3338-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3343-1	1 atmosphere. The	one atmosphere, and the	script identifiable	numbers	9	major	6	1	0	0	0	0	0	0	0	1	0	0	0
3346-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3349-1	Sojourner's also	Sojourner's,	other	condensation	5	minor	-4	0	0	0	0	0	0	0	0	0	1	0	0
3349-2	life.	life, either.	other	expansion	8	major	8	1	0	0	0	0	0	0	0	0	0	1	0
3351-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3353-1	PATHFINDER	Pathfinder	script-identifiable	capitalization	9	major	0	0	0	0	1	0	0	0	0	0	0	0	0
3355-1	OS...	OS ...	script identifiable	whitespace	1	minor	1	0	0	0	0	1	0	0	0	0	0	0	0
3358-1	TEMPERATURE: -34 C	TEMPERATURE:-34°C	script identifiable	numbers	2	minor	-1	0	0	0	0	0	0	0	0	1	0	0	0
3365-1		,	other	insertion	1	minor	1	1	1	0	0	0	0	0	0	0	0	0	0
3370-1	ACQUIRED		other	deletion	8	major	-8	0	0	1	0	0	0	0	0	0	0	0	0
3371-1	Chapter	ACQUIRED...	other	expansion	10	major	4	1	0	0	0	0	0	0	0	0	0	1	0
3372-1		CHAPTER	other	insertion	7	major	7	0	1	0	0	0	0	0	0	0	0	0	0
3375-1		crowded	other	insertion	7	major	7	0	1	0	0	0	0	0	0	0	0	0	0
3375-2	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
3376-1	heartily		other	deletion	8	major	-8	0	0	1	0	0	0	0	0	0	0	0	0
3377-1		Pathfinder	other	insertion	10	major	10	0	1	0	0	0	0	0	0	0	0	0	0
3378-1		Over the last twenty days, a team of	other	insertion	36	major	36	7	1	0	0	0	0	0	0	0	0	0	0
3378-2		engineers	other	insertion	9	major	9	0	1	0	0	0	0	0	0	0	0	0	0
3378-3	just 20 days	worked around the clock	script identifiable	numbers	20	major	11	1	0	0	0	0	0	0	0	1	0	0	0
3378-4		that allowed the old systems	other	insertion	28	major	28	4	1	0	0	0	0	0	0	0	0	0	0
3379-1	A team of engineers had worked around the clock, finishing only two days earlier.		other	deletion	81	major	-81	-14	0	1	0	0	0	0	0	0	0	0	0
3381-1	Crammed	Already jam-packed	other	expansion	13	major	11	2	0	0	0	0	0	0	0	0	0	1	0
3381-2	little	the cramped	other	expansion	10	major	5	1	0	0	0	0	0	0	0	0	0	1	0
3381-3	was left over for	had turned positively claustrophobic with	other	expansion	33	major	24	1	0	0	0	0	0	0	0	0	0	1	0
3381-4		now	other	insertion	3	minor	3	0	1	0	0	0	0	0	0	0	0	0	0
3381-5	in.	into it.	other	expansion	5	minor	5	1	0	0	0	0	0	0	0	0	0	1	0
3382-1	was permitted.	pressed against the back wall, trying-and failing--to stay out of everyone's way while recording the auspicious moment.	other	expansion	108	major	105	18	0	0	0	0	0	0	0	0	0	1	0
3389-1	shit	stuff	other	tbc	4	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
3393-1	asked	asked,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3393-2	you're	your	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
3398-1	11	eleven	script identifiable	numbers	6	major	4	0	0	0	0	0	0	0	0	1	0	0	0
3400-1	22	twenty-two	script identifiable	numbers	10	major	8	1	0	0	0	0	0	0	0	1	0	0	0
3401-1	said,	said.	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
3407-1	self check.	self-check.	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3408-1	"""nonfunctional"""	'nonfunctional'	script identifiable	punctuation	2	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
3408-2	cause	'cause	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3414-1	fucking shit	shit,	other	condensation	9	major	-7	0	0	0	0	0	0	0	0	0	1	0	0
3415-1		suited up and	other	insertion	13	major	13	2	1	0	0	0	0	0	0	0	0	0	0
3415-2	Lander.	lander.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3416-1	high gain	high-gain	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
3420-1	Happy dance, happy dance,	I don't even know what to say.	other	expansion	25	major	5	4	0	0	0	0	0	0	0	0	0	1	0
3421-1		This was an insane plan and somehow it worked!	other	insertion	46	major	46	9	1	0	0	0	0	0	0	0	0	0	0
3422-1	doin'	going to be talking to someone again.	other	expansion	34	major	32	6	0	0	0	0	0	0	0	0	0	1	0
3423-1		I spent three months as	other	insertion	23	major	23	4	1	0	0	0	0	0	0	0	0	0	0
3423-2	happy dance!		other	deletion	12	major	-12	-2	0	1	0	0	0	0	0	0	0	0	0
3424-1	All right.		other	deletion	10	major	-10	-2	0	1	0	0	0	0	0	0	0	0	0
3425-1	Enough happy dance.		other	deletion	19	major	-19	-3	0	1	0	0	0	0	0	0	0	0	0
3426-1	Time	loneliest man in history and it's finally over.	other	expansion	44	major	43	9	0	0	0	0	0	0	0	0	0	1	0
3427-1		Sure, I might not get rescued.	other	insertion	30	major	30	6	1	0	0	0	0	0	0	0	0	0	0
3428-1		But I won't be alone.	other	insertion	21	major	21	6	1	0	0	0	0	0	0	0	0	0	0
3429-1		The whole time I was recovering Pathfinder, I imagined what this moment would be like.	other	insertion	86	major	86	15	1	0	0	0	0	0	0	0	0	0	0
3430-1		I figured I'd jump up and down a bit, cheer, maybe flip off the ground (because this whole damn planet is my enemy), but that's not what happened.	other	insertion	146	major	146	30	1	0	0	0	0	0	0	0	0	0	0
3431-1		When I got back	other	insertion	15	major	15	3	1	0	0	0	0	0	0	0	0	0	0
3431-2	make with		other	deletion	9	major	-9	-1	0	1	0	0	0	0	0	0	0	0	0
3431-3	communicatin'!	Hab and took off the EVA suit, I sat down in the dirt and cried.	other	expansion	57	major	50	14	0	0	0	0	0	0	0	0	0	1	0
3432-1		Bawled like a little kid for several minutes.	other	insertion	45	major	45	8	1	0	0	0	0	0	0	0	0	0	0
3433-1		I finally settled down to mild sniffling and then felt a deep calm.	other	insertion	67	major	67	13	1	0	0	0	0	0	0	0	0	0	0
3434-1		It was a good calm.	other	insertion	19	major	19	5	1	0	0	0	0	0	0	0	0	0	0
3435-1		It occurs to me: Now that I might live, I have to be more careful about logging embarrassing moments.	other	insertion	101	major	101	19	1	0	0	0	0	0	0	0	0	0	0
3436-1		How do I delete log entries?	other	insertion	28	major	28	6	1	0	0	0	0	0	0	0	0	0	0
3437-1		There's no obvious way....	other	insertion	26	major	26	5	1	0	0	0	0	0	0	0	0	0	0
3438-1		I'll get to it later.	other	insertion	21	major	21	6	1	0	0	0	0	0	0	0	0	0	0
3439-1		I've got more important things to do.	other	insertion	37	major	37	8	1	0	0	0	0	0	0	0	0	0	0
3440-1		I've got people to talk to!	other	insertion	27	major	27	7	1	0	0	0	0	0	0	0	0	0	0
3441-1		Venkat grinned as he took the podium in the JPL press room.	other	insertion	59	major	59	12	1	0	0	0	0	0	0	0	0	0	0
3442-1	Venkat	, he	other	tbc	6	major	-2	1	0	0	0	0	0	0	0	0	0	0	1
3447-1	her out.	to the CNN reporter.	other	expansion	14	major	12	2	0	0	0	0	0	0	0	0	0	1	0
3451-1	Lander	lander	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3456-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
3457-1	Lander's	lander's	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3458-1	said	said,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
3474-1	32 minute round trip,	twenty-two-minute round-trip	script identifiable	numbers	13	major	7	0	0	0	0	0	0	0	0	1	0	0	0
3476-1	just past 3am	just.past three a.m.	script identifiable	numbers	9	major	7	3	0	0	0	0	0	0	0	1	0	0	0
3478-1	now, the	now.	other	condensation	5	minor	-4	0	0	0	0	0	0	0	0	0	1	0	0
3479-1		The	other	insertion	3	minor	3	0	1	0	0	0	0	0	0	0	0	0	0
3481-1	Quickly leaving the press room,	Before anyone could ask a follow-up,	other	expansion	30	major	5	2	0	0	0	0	0	0	0	0	0	1	0
3481-2		strode out the side door and	other	insertion	28	major	28	5	1	0	0	0	0	0	0	0	0	0	0
3489-1		•	other	insertion	1	minor	1	1	1	0	0	0	0	0	0	0	0	0	0
3494-1	A general loosening	Sighs	other	condensation	17	major	-14	-2	0	0	0	0	0	0	0	0	1	0	0
3494-2	tension coruscated through the room	relief and muted conversation replaced tense silence	other	expansion	40	major	17	2	0	0	0	0	0	0	0	0	0	1	0
3494-3	slowly came through, one vertical stripe	began coming through. It filled out from left to right	other	expansion	37	major	14	4	0	0	0	0	0	0	0	0	0	1	0
3494-4	time.	snail's pace due to the bandwidth limitations of the antique probe sending it.	other	expansion	73	major	73	13	0	0	0	0	0	0	0	0	0	1	0
3495-1	"surface..."""	"surface...,"""	script identifiable	punctuation	1	minor	1	0	0	0	0	0	0	1	0	0	0	0	0
3495-2	displayed.	slowly filled in.	other	expansion	13	major	7	2	0	0	0	0	0	0	0	0	0	1	0
3500-1	is	Is	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
3502-1	The vertical stripes	As the image grew, it	other	tbc	18	major	1	2	0	0	0	0	0	0	0	0	0	0	1
3509-1	says...'I'll	says... 'I'll	script identifiable	whitespace	1	minor	1	0	0	0	0	1	0	0	0	0	0	0	0
3509-2	here - Are	here-Are	script identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
3509-3	"receiving?""'"		other	deletion	12	major	-12	-1	0	1	0	0	0	0	0	0	0	0	0
3510-1	"""Ok...?"""	"receiving?'"""	other	expansion	10	major	4	-1	0	0	0	0	0	0	0	0	0	1	0
3511-1		"""Okay...?"""	other	insertion	10	major	10	2	1	0	0	0	0	0	0	0	0	0	0
3513-1	the slow march	more	other	condensation	12	major	-10	-2	0	0	0	0	0	0	0	0	1	0	0
3513-2	data revealed itself.	the image came through.	other	tbc	19	major	2	1	0	0	0	0	0	0	0	0	0	0	1
3515-1	"yes'."""		other	deletion	6	major	-6	-1	0	1	0	0	0	0	0	0	0	0	0
3516-1	"""All right, I see what he's going for,"" said Bruce."		other	deletion	51	major	-51	-12	0	1	0	0	0	0	0	0	0	0	0
3517-1	"""There's the third note,"" said Tim."		other	deletion	35	major	-35	-8	0	1	0	0	0	0	0	0	0	0	0
3518-1	"""'Point here for no,""' Venkat read."		other	deletion	35	major	-35	-7	0	1	0	0	0	0	0	0	0	0	0
