itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
7280-2	kwh	kilowatt-hours	other	expansion	11	major	11	1	0	0	0	0	0	0	0	0	0	1	0
7282-1	7	seven	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
7283-1	Oxygenator.	oxygenator.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7284-1	fucker	bastard	other	tbc	6	major	1	0	0	0	0	0	0	0	0	0	0	0	1
7286-1	Oxygenator,	oxygenator,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7286-2	"""air-sols."""	"""air sols."""	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
7288-1	Lets	Let's	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7288-2	14	fourteen	script identifiable	numbers	8	major	6	0	0	0	0	0	0	0	0	1	0	0	0
7288-3	7.	seven.	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
7290-1	38pn	thirty-six pirate-ninjas	script identifiable	numbers	22	major	20	3	0	0	0	0	0	0	0	1	0	0	0
7290-2	5.1	five	script identifiable	numbers	4	minor	1	-1	0	0	0	0	0	0	0	1	0	0	0
7290-3	air-sol.	air sol.	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
7293-1	km	kilometers	other	expansion	8	major	8	0	0	0	0	0	0	0	0	0	0	1	0
7295-1	kwh	kilowatt-hours	other	expansion	11	major	11	1	0	0	0	0	0	0	0	0	0	1	0
7296-1	2	two	script identifiable	numbers	3	minor	2	0	0	0	0	0	0	0	0	1	0	0	0
7296-2	9 kwh	9-kilowatt-hour	script identifiable	numbers	11	major	10	1	0	0	0	0	0	0	0	1	0	0	0
7296-3	on to	onto	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
7298-1	light	fight	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7299-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
7300-1	100 km	One hundred kilometers per sol is pretty optimistic.	script identifiable	numbers	49	major	46	7	0	0	0	0	0	0	0	1	0	0	0
7301-1		But let's say I could make 90 kilometers	other	insertion	40	major	40	8	1	0	0	0	0	0	0	0	0	0	0
7302-1	If I could pull that off,		other	deletion	25	major	-25	-6	0	1	0	0	0	0	0	0	0	0	0
7303-1	40	in forty-five	script identifiable	numbers	13	major	11	2	0	0	0	0	0	0	0	1	0	0	0
7305-1	It	it	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7306-1	satellites,	satellites	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
7317-1	low power mode: No	low-power mod,e: no	other	tbc	3	minor	1	1	0	0	0	0	0	0	0	0	0	0	1
7319-1		Then	other	insertion	4	minor	4	0	1	0	0	0	0	0	0	0	0	0	0
7319-2	28	twenty-eight	script identifiable	numbers	12	major	10	1	0	0	0	0	0	0	0	1	0	0	0
7323-1	28	twenty-eight	script identifiable	numbers	12	major	10	1	0	0	0	0	0	0	0	1	0	0	0
7327-1	looking	looking,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7327-2	shit.	anything.	other	expansion	6	major	4	0	0	0	0	0	0	0	0	0	0	1	0
7331-1	rovers	rovers'	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7332-1	is,	is	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
7333-1		unmodified	other	insertion	10	major	10	0	1	0	0	0	0	0	0	0	0	0	0
7334-1	Oxygenator	oxygenator	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7335-1	5	five	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
7337-1	21	twenty-one	script identifiable	numbers	10	major	8	1	0	0	0	0	0	0	0	1	0	0	0
7339-1	The	the	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7341-1	trailer)	trailer),	script identifiable	punctuation	1	minor	1	0	0	0	0	0	0	1	0	0	0	0	0
7342-1	them	the bags	other	expansion	5	minor	4	1	0	0	0	0	0	0	0	0	0	1	0
7343-1		from	other	insertion	4	minor	4	0	1	0	0	0	0	0	0	0	0	0	0
7344-1	middrive	mid-drive	script identifiable	hyphenation	1	minor	1	1	0	0	0	0	0	0	1	0	0	0	0
7345-1	resources	resources,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7347-1	hours	hours,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7351-1		the	other	insertion	3	minor	3	0	1	0	0	0	0	0	0	0	0	0	0
7355-1	could	can	other	tbc	4	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
7356-1	I'd	I'll	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
7358-1	8	eight	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
7358-2	way.	'way.	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7364-1	in low-power	in-low-power	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7365-1	1 C	1°C	script identifiable	numbers	1	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
7366-1	was	felt	other	tbc	4	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
7371-1	array.	array to scavenge metal for the shelves.	other	expansion	34	major	34	6	0	0	0	0	0	0	0	0	0	1	0
7372-1	was	is	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7374-1	Each strut is 2 meters long, and held together by bolts.		other	deletion	56	major	-56	-11	0	1	0	0	0	0	0	0	0	0	0
7375-1	them in to	a strut into	other	tbc	7	major	2	0	0	0	0	0	0	0	0	0	0	0	1
7375-2	save	Save	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7376-1	I took each strut apart, yielding	It was	other	condensation	28	major	-27	-4	0	0	0	0	0	0	0	0	1	0	0
7376-2	bunch	triangular lattice	other	expansion	16	major	13	1	0	0	0	0	0	0	0	0	0	1	0
7376-3	strips.	strips held together with bolts.	other	expansion	25	major	25	4	0	0	0	0	0	0	0	0	0	1	0
7377-1		I disassembled it.	other	insertion	18	major	18	3	1	0	0	0	0	0	0	0	0	0	0
7378-1	well	well,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
7379-1	"""L"""	L	script identifiable	punctuation	2	minor	-2	-2	0	0	0	0	0	1	0	0	0	0	0
7382-1	Attaching	I was worried it would be hard to attach	other	expansion	37	major	31	8	0	0	0	0	0	0	0	0	0	1	0
7382-2	undercarriages of the rover and trailer was easy.	rover's undercarriage, but it ended up being simple.	other	tbc	35	major	3	1	0	0	0	0	0	0	0	0	0	0	1
7383-1	undercarriages come	undercarriage comes	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7384-1		After some drilling and bolting,	other	insertion	32	major	32	5	1	0	0	0	0	0	0	0	0	0	0
7384-2	bolted	got	other	tbc	4	minor	-3	0	0	0	0	0	0	0	0	0	0	0	1
7384-3	in place	attached to it	other	expansion	13	major	6	1	0	0	0	0	0	0	0	0	0	1	0
7384-4	returned	then mounted it back on	other	expansion	19	major	15	4	0	0	0	0	0	0	0	0	0	1	0
7384-5	undercarriages where they belonged.	rover.	other	condensation	31	major	-29	-3	0	0	0	0	0	0	0	0	1	0	0
7385-1		I repeated the process for the trailer.	other	insertion	39	major	39	7	1	0	0	0	0	0	0	0	0	0	0
7387-1	note - an	note-the	other	tbc	4	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
7387-2	vessel.	vessel..	script identifiable	punctuation	1	minor	1	0	0	0	0	0	0	1	0	0	0	0	0
7392-1		roof of the	other	insertion	11	major	11	2	1	0	0	0	0	0	0	0	0	0	0
7397-1	28	Twenty-eight	script identifiable	numbers	12	major	10	1	0	0	0	0	0	0	0	1	0	0	0
7404-1	This is considerably more rare than you might think.		other	deletion	52	major	-52	-9	0	1	0	0	0	0	0	0	0	0	0
7407-1		at a	other	insertion	4	minor	4	1	1	0	0	0	0	0	0	0	0	0	0
7408-1	more	mote	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
7412-1	there's	There's	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7414-1	those)	those),	script identifiable	punctuation	1	minor	1	0	0	0	0	0	0	1	0	0	0	0	0
7414-2	Oxygenator.	oxygenator.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
7415-1	it'll be carrying		other	deletion	17	major	-17	-3	0	1	0	0	0	0	0	0	0	0	0
7415-2	there'll be	I'll have	other	tbc	8	major	-2	0	0	0	0	0	0	0	0	0	0	0	1
7417-1	of the	of-the	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
7418-1	link-up	linkup	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
7419-1	along	along,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
